MOD01-CORPORATIVO,BARDPUME04,"CORPORATIVO BARRANQUILLA",2012,BARDPUME04,
MOD02-CORPORATIVO,BARDPYME10,"CORPORATIVO BARRANQUILLA",2012,BARDPYME10,
"MODULO 06",,"PORTAL DEL PRADO",2012,BQAD5000508AS06,
"MODULO 08",,"PORTAL DEL PRADO",2012,BQAD5000508AS01,
"MODULO 07",10.75.36.140,"PORTAL DEL PRADO",2012,BQAD5000508AS07,
"MODULO 11",10.75.36.62,"PORTAL DEL PRADO",2012,BQAD5000508AS11,
MOD01-RIOHACHA-ok,"PC - RIOD4000403AS1",RIOHACHA,2012,RIOD4000403AS1,
MOD02-RIOHACHA-ok,"PC - RIOD5000403ST01",RIOHACHA,2012,RIOD5000403ST01,
MOD03-RIOHACHA,"PC - RIOD5000403AS03",RIOHACHA,2012,RIOD5000403AS03,
MOD04-RIOHACHA-ok,"PC - RRIOD500403AS04",RIOHACHA,2012,RRIOD500403AS04,
MOD05-RIOHACHA-ok,"PC - RIOD5000403AS02",RIOHACHA,2012,RIOD5000403AS02,
MOD06-RIOHACHA-ok,"PC - RRIOD500403AS14",RIOHACHA,2012,RRIOD500403AS14,
MOD07-RIOHACHA-ok,"PC - RIOD4000403AS02",RIOHACHA,2012,RIOD4000403AS02,
MOD08-RIOHACHA-ok,"PC - CRIOASEPC08",RIOHACHA,2012,CRIOASEPC08,
MOD09-RIOHACHA-ok,"PC - RIOD4000403AS09",RIOHACHA,2012,RIOD4000403AS09,
MOD10-RIOHACHA-ok,"PC - RRIOD500403AS13",RIOHACHA,2012,RRIOD500403AS13,
MOD11-RIOHACHA-ok,"PC - RRIOD500403AS11",RIOHACHA,2012,RRIOD500403AS11,
CRD-RIOHACHA,"PC - Coordinador - RRIOD500403CO01",RIOHACHA,2012,RRIOD500403CO01,
MOD01-UNICOBQ,BQAD5000520AS01,"UNICO BAQ",2012,BQAD5000520AS01,
MOD02-UNICOBQ,BQAD5000520AS02,"UNICO BAQ",2012,BQAD5000520AS02,
MOD03-UNICOBQ,BQAD5000520AS03,"UNICO BAQ",2012,BQAD5000520AS03,
MOD05-UNICOBQ,BQAD5000520AS05,"UNICO BAQ",2012,BQAD5000520AS05,
MOD06-UNICOBQ,BQAD5000520AS06,"UNICO BAQ",2012,BQAD5000520AS06,
MOD04-UNICOBQ,BQAD5000520AS04,"UNICO BAQ",2012,BQAD5000520AS04,
MOD08-UNICOBQ,BQAD5000520AS08,"UNICO BAQ",2012,BQAD5000520AS08,
MOD09-UNICOBQ,"No tiene netcontrol","UNICO BAQ",2012,BQAD5000520AS09,
ADMINISTRADOR,,"PORTAL DEL PRADO",0,BQAD5000508AD01,
MOD03-CORPORATIVO,BQAPYME03,"CORPORATIVO BARRANQUILLA",2012,BQAPYME03,
MOD04-CORPORATIVO,BQADPYME05,"CORPORATIVO BARRANQUILLA",2012,BQADPYME05,
"MODULO 01",,"PORTAL DEL PRADO",2012,RBAQD500508AS01,
"MODULO 03",,"PORTAL DEL PRADO",2012,RBAQD500508AS03,
"MODULO 10",,"PORTAL DEL PRADO",2012,BQAD5000508A10,
"MODULO 12",RBAQD500508AS12,"PORTAL DEL PRADO",2012,RBAQD500508AS12,
"MODULO 04",,"PORTAL DEL PRADO",2012,BQAD5000508AS4,
MOD10-UNICOBQ,BQAD5000520AS10,"UNICO BAQ",2012,BQAD5000520AS10,
ADM-UNICOBQ,BQAD5000520AD01,"UNICO BAQ",2012,BQAD5000520AD01,
MOD07-UNICOBQ,BQAD5000520A07,"UNICO BAQ",2012,BQAD5000520A07,
"MODULO 09",,"PORTAL DEL PRADO",2012,BQAD5000508AS09,
"MODULO 13",BQAD5000508AS13,"PORTAL DEL PRADO",2012,BQAD5000508AS13,
"MODULO 14",BQAD50508AS11-P,"PORTAL DEL PRADO",2012,BQAD50508AS11-P,
"MODULO 15",,"PORTAL DEL PRADO",0,BQAD5000508AS15,
MOD11-UNICOBQ,"No tiene Netcontrol","UNICO BAQ",2012,BQAD5000520AS11,
"MODULO 02",,"PORTAL DEL PRADO",2012,RBAQD500508AS02,
MOD12-UNICOBQ,BQAD5000520AS12,"UNICO BAQ",2012,BQAD5000520AS12,
ADM-RIOHACHA,RIOD5000403AD01,RIOHACHA,2012,RIOD5000403AD01,
BOD-RIOHACHA-ok,"PC - Bodega - RRIOD500403ASB",RIOHACHA,2012,RRIOD500403ASB,
ST-RIOHACHA,"PC - Cooper - RIOD5000403AS03",RIOHACHA,2012,RIOD5000403AS03,
ADM-CORPORATIVO,BQALSVARELA,"CORPORATIVO BARRANQUILLA",2012,BQALSVARELA,
CRD-CORPORATIVO,BARDPYME08,"CORPORATIVO BARRANQUILLA",2012,BARDPYME08,
CRD-UNICOBQ,BQAD5000520CO09,"UNICO BAQ",2012,BQAD5000520CO09,
DGT-UNICOBQ,BQAD5000520DIG,"UNICO BAQ",2012,BQAD5000520DIG,
BOD-UNICOBQ,AD3440-25,"UNICO BAQ",2012,AD3440-25,
CRD-BUENAVISTA,BQAD5000517CO01,BUENAVISTA,2012,BQAD5000517CO01,
ADM-BUENAVISTA,BQAD5000517AD01,BUENAVISTA,2012,BQAD5000517AD01,
MOD08-BUENAVISTA,BQAD5000517AS11,BUENAVISTA,2012,RBQAL500517AS11,
MOD02-BUENAVISTA,BQAD5000517AS2,BUENAVISTA,2012,BQAD5000517AS2,
MOD03-BUENAVISTA,BQAD5000517AS3,BUENAVISTA,2012,BQAD5000517AS3,
